"STT","Name","SKU","Price","ComparePrice","Vendor","ProductType","Available","Stock","Handle"
"23","Collavini ""More"" Rosso IGT","L10019","950000","0","Eugenio Collavini","Rượu vang đỏ","True","53","collavini-more-rosso-igt"
"24","Collavini Bianco IGT","L10018","950000","0","Eugenio Collavini","Rượu vang trắng","True","12","collavini-bianco-igt"
"25","Collavini Broy DOC Collio","L10021","3780000","0","Eugenio Collavini","Rượu vang trắng","True","12","collavini-broy-doc-collio"
"26","Collavini Cabernet Roncaccio IGT","L10017","850000","0","Eugenio Collavini","Rượu vang đỏ","True","13","collavini-cabernet-roncaccio-igt"
"27","Collavini Chardonnay dei Sassi Cavi DOC","L10015","850000","0","Eugenio Collavini","Rượu vang trắng","True","0","collavini-chardonnay-dei-sassi-cavi-doc"
"28","Collavini Pinot Grigio Villa Canlungo DOC","L10016","870000","0","Eugenio Collavini","Rượu vang trắng","True","34","collavini-pinot-grigio-villa-canlungo-doc"
"29","Collavini Ribolla Gialla Spumante Brut","L10020","2780000","0","Eugenio Collavini","Rượu vang nổ","True","12","collavini-ribolla-gialla-spumante-brut"
"30","Colors 719 IGP Mediterranee","L20003","640000","500000","Maison Bouey","Rượu vang hồng","True","6","colors-719-igp-mediterranee"
"31","Domaine de la Solitude Chateauneuf du Pape","","3498000","0","Domaine de la Solitude","Rượu vang đỏ","True","0","domaine-de-la-solitude-chateauneuf-du-pape-2021"
"32","Domaine de la Solitude Cotes du Rhone Blanc","L20017","900000","0","Domaine de la Solitude","Rượu vang trắng","True","29","domaine-de-la-solitude-cotes-du-rhone-blanc"
"33","Domaine de la Solitude Cotes du Rhone Rouge","L20016","900000","0","Domaine de la Solitude","Rượu vang đỏ","True","7","domaine-de-la-solitude-cotes-du-rhone-rouge"
"34","Domaine de la Solitude Gigondas Bellecoste","L20018","2240000","0","Domaine de la Solitude","Rượu vang đỏ","True","17","domaine-de-la-solitude-gigondas-bellecoste"
"35","Domaine de la Tour Blanche Gewurztraminer","L20011","1050000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","39","domaine-de-la-tour-blanche-gewurztraminer"
"36","Domaine de la Tour Blanche Gewurztraminer Grand Cru Sporen","L20015","1780000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","38","domaine-de-la-tour-blanche-gewurztraminer-grand-cru-sporen"
"37","Domaine de la Tour Blanche Pinot Blanc Cuvée","L20009","900000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","13","domaine-de-la-tour-blanche-pinot-blanc-cuvee"
"38","Domaine de la Tour Blanche Pinot Gris Réserve","L20014","1380000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","30","domaine-de-la-tour-blanche-pinot-gris-reserve"
"39","Domaine de la Tour Blanche Pinot Noir Cuvée","L20012","1160000","0","Domaine de la Tour Blanche","Rượu vang đỏ","True","11","domaine-de-la-tour-blanche-pinot-noir-cuvee"
"40","Domaine de la Tour Blanche Riesling","L20010","1000000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","8","domaine-de-la-tour-blanche-riesling"
"41","Domaine de la Tour Blanche Riesling Grand Cru Schoenenbourg","L20013","1680000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","46","domaine-de-la-tour-blanche-riesling-grand-cru-schoenenbourg"
"42","Domaine de Rochebin Bourgogne Aligote","L20043","1020000","0","Domaine de Rochebin","Rượu vang trắng","True","12","domaine-de-rochebin-bourgogne-aligote"
"43","Domaine de Rochebin Bourgogne Chardonnay","L20044","1090000","0","Domaine de Rochebin","Rượu vang trắng","True","2","domaine-de-rochebin-bourgogne-chardonnay"
"44","Domaine de Rochebin Bourgogne Pinot Noir","L20046","1140000","0","Domaine de Rochebin","Rượu vang đỏ","True","29","domaine-de-rochebin-bourgogne-pinot-noir"
"45","Domaine de Rochebin Macon Villages","L20045","1090000","0","Domaine de Rochebin","Rượu vang trắng","True","25","domaine-de-rochebin-macon-villages"
"46","Domaine du Meteore Carignides AOP Faugeres Rouge","L20050","1320000","0","Domaine du Meteore","Rượu vang đỏ","True","18","domaine-du-meteore-carignides-aop-faugeres-rouge"
"47","Domaine du Meteore Le Meteore Blanc","L20047","850000","0","Domaine du Meteore","Rượu vang trắng","True","34","domaine-du-meteore-le-meteore-blanc"
"48","Domaine du Meteore Le Meteore Rouge","L20048","850000","0","Domaine du Meteore","Rượu vang đỏ","True","32","domaine-du-meteore-le-meteore-rouge"
"49","Domaine du Meteore Leonides AOP Faugeres Rouge","L20049","1120000","0","Domaine du Meteore","Rượu vang đỏ","True","20","domaine-du-meteore-leonides-aop-faugeres-rouge"
"50","Domaine du Meteore Parangon AOP Saint-Chinigan Rouge","L20052","2640000","0","Domaine du Meteore","Rượu vang đỏ","True","27","domaine-du-meteore-parangon-aop-saint-chinigan-rouge"
"51","Domaine du Meteore Perseides AOP Faugeres Rouge","L20051","1610000","0","Domaine du Meteore","Rượu vang đỏ","True","14","domaine-du-meteore-perseides-aop-faugeres-rouge"
"52","Head Over Heels Cabernet Merlot","L40002","460000","0","Berton Vineyards","Rượu vang đỏ","True","8","head-over-heels-cabernet-merlot"
"53","Head Over Heels Chardonnay","L40003","460000","0","Berton Vineyards","Rượu vang trắng","False","0","head-over-heels-chardonnay"
"54","Head Over Heels Sauvignon Blanc","L40004","460000","0","Berton Vineyards","Rượu vang trắng","True","93","head-over-heels-sauvignon-blanc"
"55","Head Over Heels Shiraz","L40001","460000","0","Berton Vineyards","Rượu vang đỏ","True","12","head-over-heels-shiraz"
"56","I Saltari Amarone della Valpolicella DOCG","L10001","3880000","0","Sartori di Verona","Rượu vang đỏ","True","17","i-saltari-amarone-della-valpolicella-docg"
"57","L'Esprit de Pennautier Grand Vin","L20058","1980000","0","Lorgeril","Rượu vang đỏ","True","10","l-esprit-de-pennautier-grand-vin"
"58","L'Orangeraie Cabernet Sauvignon","L20053","680000","0","Lorgeril","Rượu vang đỏ","True","17","l-orangeraie-cabernet-sauvignon"
"59","L'Orangeraie Sauvignon Blanc","L20055","680000","0","Lorgeril","Rượu vang trắng","True","36","l-orangeraie-sauvignon-blanc"
"60","L'Orangeraie Viognier","L20054","680000","0","Lorgeril","Rượu vang trắng","True","11","l-orangeraie-viognier"
"61","L'Orangerie de Pez Saint - Estephe","L20032","1650000","500000","Maison Bouey","Rượu vang đỏ","True","13","l-orangerie-de-pez-saint-estephe"
"62","La Jara Chardonnay Blanc de Blanc Brut Nature","L10027","680000","0","La Jara","Rượu vang nổ","True","20","la-jara-chardonnay-blanc-de-blanc-brut-nature"
"63","La Jara Pinot Noir Blanc de Noir Brut Nature","L10026","680000","0","La Jara","Rượu vang nổ","True","16","la-jara-pinot-noir-blanc-de-noir-brut-nature"
"64","La Jara Prosecco Millesimato Dry DOC","L10023","680000","0","La Jara","Rượu vang nổ","True","14","la-jara-prosecco-millesimato-dry-doc"
"65","La Jara Prosecco Millesimato Zero Dosage DOC","L10024","680000","0","La Jara","Rượu vang nổ","True","28","la-jara-prosecco-millesimato-zero-dosage-doc"
"66","La Jara Prosecco Rose Millesimato Brut DOC","L10025","680000","0","La Jara","Rượu vang nổ","True","18","la-jara-prosecco-rose-millesimato-brut-doc"
"67","La Perriere Blanc-Fumé de Pouilly","L20036","1920000","0","La Perierre","Rượu vang trắng","True","11","la-perriere-blanc-fume-de-pouilly"
"68","La Perriere Sancerre Red","L20038","2260000","0","La Perierre","Rượu vang đỏ","True","11","la-perriere-sancerre-red"
"69","La Perriere Sancerre White","L20037","2260000","0","La Perierre","Rượu vang trắng","True","11","la-perriere-sancerre-white"
"70","La Perriere Touraine Sauvignon Blanc","L20035","900000","0","La Perierre","Rượu vang trắng","True","8","la-perriere-touraine-sauvignon-blanc"
"71","Lamura Grillo Sicilia DOC","L10028","610000","0","Lamura","Rượu vang trắng","True","46","lamura-grillo-sicilia-doc"
"72","Lamura Nero d'Avola Sicilia DOC","L10029","660000","0","Lamura","Rượu vang đỏ","True","42","lamura-nero-d-avola-sicilia-doc"
"73","Le Secret de Franc Maillet Pomerol","L20031","2540000","500000","Maison Bouey","Rượu vang đỏ","True","13","le-secret-de-franc-maillet-pomerol"
"74","Lorgeril Ô de Rose","L20056","1050000","0","Lorgeril","Rượu vang hồng","True","29","lorgeril-o-de-rose"
"75","Maison Blanche Bordeaux Blanc","L20002","560000","500000","Maison Bouey","Rượu vang trắng","True","9","maison-blanche-bordeaux-blanc"
"76","Maison Blanche Bordeaux Rouge","L20001","560000","500000","Maison Bouey","Rượu vang đỏ","True","10","maison-blanche-bordeaux-rouge"
"77","Mirafiore Barolo DOCG","L10034","3830000","0","Casa Mirafiore","Rượu vang đỏ","True","17","mirafiore-barolo-docg"
"78","Mirafiore Dolcetto d'Alba DOC","L10032","1420000","0","Casa Mirafiore","Rượu vang đỏ","True","20","mirafiore-dolcetto-d-alba-doc"
"79","Mirafiore Langhe Nascetta DOC","L10033","2050000","0","Casa Mirafiore","Rượu vang trắng","True","24","mirafiore-langhe-nascetta-doc"
"80","Oh La Vache Blanc","L20007","530000","0","Maison Bouey","Rượu vang trắng","True","13","oh-la-vache-blanc"
"81","Oh La Vache Rouge","L20006","530000","0","Maison Bouey","Rượu vang đỏ","True","2","oh-la-vache-rouge"
"82","Pardon & Fils Beaujolais Blanc","L20025","1160000","0","Pardon & Fils","Rượu vang trắng","True","75","pardon-fils-beaujolais-blanc"
"83","Pardon & Fils Beaujolais-Villages","L20020","870000","0","Pardon & Fils","Rượu vang đỏ","True","53","pardon-fils-beaujolais-villages-1"
"84","Pardon & Fils Bourgogne Chardonnay","L20028","1320000","0","Pardon & Fils","Rượu vang trắng","True","6","pardon-fils-bourgogne-chardonnay"
"85","Pardon & Fils Brouilly","L20023","1090000","0","Pardon & Fils","Rượu vang đỏ","True","35","pardon-fils-brouilly"
"86","Pardon & Fils Chenas Domaine du Dime","L20022","1000000","0","Pardon & Fils","Rượu vang đỏ","True","39","pardon-fils-chenas-domaine-du-dime"
"87","Pardon & Fils Chiroubles Les Chanteranes","L20021","1000000","0","Pardon & Fils","Rượu vang đỏ","True","45","pardon-fils-chiroubles-les-chanteranes"
"88","Pardon & Fils Coteaux Bourguignons","L20027","900000","0","Pardon & Fils","Rượu vang đỏ","True","3","pardon-fils-coteaux-bourguignons"
"89","Pardon & Fils Morgon La Croix Gaillard","L20024","1090000","0","Pardon & Fils","Rượu vang đỏ","True","28","pardon-fils-morgon-la-croix-gaillard"
"90","Pardon & Fils Saint-Amour Les Diamantines","L20026","1270000","0","Pardon & Fils","Rượu vang đỏ","True","18","pardon-fils-saint-amour-les-diamantines"
"91","Sartori La Musina Lugana DOC","L10012","1000000","0","Sartori di Verona","Rượu vang trắng","True","0","sartori-la-musina-lugana-doc"
"92","Sartori Montegradella Valpolicella Classico Superiore DOC","L10013","1200000","0","Sartori di Verona","Rượu vang đỏ","True","0","sartori-montegradella-valpolicella-classico-superiore-doc"
"93","Sartori Prosecco Brut “Love Story” DOC","L10009","710000","0","Sartori di Verona","Rượu vang nổ","True","25","sartori-prosecco-brut-love-story-doc"
"94","Sartori Prosecco ROSÉ Brut “Love Story” DOC","L10010","720000","0","Sartori di Verona","Rượu vang nổ","True","5","sartori-prosecco-rose-brut-love-story-doc"
"95","Sartori Regolo Valpolicella Ripasso Classico Superiore DOC","L10014","1410000","0","Sartori di Verona","Rượu vang đỏ","True","35","sartori-regolo-valpolicella-ripasso-classico-superiore-doc"
"96","Sartori Sella Soave Classico DOC","L10011","1000000","0","Sartori di Verona","Rượu vang trắng","True","17","sartori-sella-soave-classico-doc"
"97","Vin de France La Petite Perriere Pinot Noir","L20034","770000","0","La Perierre","Rượu vang đỏ","True","14","vin-de-france-la-petite-perriere-pinot-noir"
"98","Vin de France La Petite Perriere Sauvignon Blanc","L20033","680000","0","La Perierre","Rượu vang trắng","True","22","vin-de-france-la-petite-perriere-sauvignon-blanc"
"99","Vina San Esteban Classic Cabernet Sauvignon","L30001","410000","0","Vina San Esteban","Rượu vang đỏ","True","16","vina-san-esteban-classic-cabernet-sauvignon"
"100","Vina San Esteban Classic Chardonnay","L30003","410000","0","Vina San Esteban","Rượu vang trắng","True","13","vina-san-esteban-classic-chardonnay"
"101","Vina San Esteban Classic Merlot","L30002","410000","0","Vina San Esteban","Rượu vang đỏ","True","20","vina-san-esteban-classic-merlot"
"102","Vina San Esteban Gran Reserva Cabernet Sauvignon","L30005","1160000","0","Vina San Esteban","Rượu vang đỏ","True","31","vina-san-esteban-gran-reserva-cabernet-sauvignon"
